,bpi,disclaimer,time
2013-09-01,128.2597,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-09-02,127.3648,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-09-03,127.5915,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-09-04,120.5738,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-09-05,120.5333,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-09-06,116.321,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-09-07,119.0547,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-09-08,116.595,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-09-09,120.0188,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-09-10,121.458,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-09-11,125.4518,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-09-12,125.7598,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-09-13,126.5072,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-09-14,124.0813,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-09-15,124.5783,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-09-16,125.0618,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-09-17,125.9683,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-09-18,126.3045,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-09-19,124.1937,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-09-20,122.9008,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-09-21,122.6435,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
