,rates,start_at,base,end_at
2013-09-02,{'CAD': 1.0530021958},2013-09-01,USD,2018-09-01
2013-09-03,{'CAD': 1.0525356817},2013-09-01,USD,2018-09-01
2013-09-04,{'CAD': 1.0488193759},2013-09-01,USD,2018-09-01
2013-09-05,{'CAD': 1.0480987729},2013-09-01,USD,2018-09-01
2013-09-06,{'CAD': 1.0430738736},2013-09-01,USD,2018-09-01
2013-09-09,{'CAD': 1.0382749735},2013-09-01,USD,2018-09-01
2013-09-10,{'CAD': 1.0335347432},2013-09-01,USD,2018-09-01
2013-09-11,{'CAD': 1.0337654507},2013-09-01,USD,2018-09-01
2013-09-12,{'CAD': 1.0319789315},2013-09-01,USD,2018-09-01
2013-09-13,{'CAD': 1.0333960135},2013-09-01,USD,2018-09-01
2013-09-16,{'CAD': 1.0300965786},2013-09-01,USD,2018-09-01
2013-09-17,{'CAD': 1.0312967954},2013-09-01,USD,2018-09-01
2013-09-18,{'CAD': 1.0307070102},2013-09-01,USD,2018-09-01
2013-09-19,{'CAD': 1.0209671465},2013-09-01,USD,2018-09-01
2013-09-20,{'CAD': 1.0284149771},2013-09-01,USD,2018-09-01
2013-09-23,{'CAD': 1.0296861119},2013-09-01,USD,2018-09-01
2013-09-24,{'CAD': 1.0285014473},2013-09-01,USD,2018-09-01
2013-09-25,{'CAD': 1.0311018957},2013-09-01,USD,2018-09-01
2013-09-26,{'CAD': 1.0303726202},2013-09-01,USD,2018-09-01
2013-09-27,{'CAD': 1.0317647928},2013-09-01,USD,2018-09-01
2013-09-30,{'CAD': 1.0301369863},2013-09-01,USD,2018-09-01
2013-10-01,{'CAD': 1.030101815},2013-09-01,USD,2018-09-01
2013-10-02,{'CAD': 1.0349981502},2013-09-01,USD,2018-09-01
2013-10-03,{'CAD': 1.0337648963},2013-09-01,USD,2018-09-01
2013-10-04,{'CAD': 1.0330317075},2013-09-01,USD,2018-09-01
2013-10-07,{'CAD': 1.0322723254},2013-09-01,USD,2018-09-01
2013-10-08,{'CAD': 1.0307896288},2013-09-01,USD,2018-09-01
2013-10-09,{'CAD': 1.0380318165},2013-09-01,USD,2018-09-01
2013-10-10,{'CAD': 1.0385013302},2013-09-01,USD,2018-09-01
2013-10-11,{'CAD': 1.0389208315},2013-09-01,USD,2018-09-01
2013-10-14,{'CAD': 1.0351666175},2013-09-01,USD,2018-09-01
2013-10-15,{'CAD': 1.0357222263},2013-09-01,USD,2018-09-01
2013-10-16,{'CAD': 1.0373128825},2013-09-01,USD,2018-09-01
2013-10-17,{'CAD': 1.0297906602},2013-09-01,USD,2018-09-01
2013-10-18,{'CAD': 1.0295966092},2013-09-01,USD,2018-09-01
2013-10-21,{'CAD': 1.0294139167},2013-09-01,USD,2018-09-01
2013-10-22,{'CAD': 1.0299839111},2013-09-01,USD,2018-09-01
2013-10-23,{'CAD': 1.031777196},2013-09-01,USD,2018-09-01
2013-10-24,{'CAD': 1.04005795},2013-09-01,USD,2018-09-01
2013-10-25,{'CAD': 1.0437685998},2013-09-01,USD,2018-09-01
2013-10-28,{'CAD': 1.0443993035},2013-09-01,USD,2018-09-01
2013-10-29,{'CAD': 1.0443782684},2013-09-01,USD,2018-09-01
2013-10-30,{'CAD': 1.0442748092},2013-09-01,USD,2018-09-01
2013-10-31,{'CAD': 1.0447181292},2013-09-01,USD,2018-09-01
2013-11-01,{'CAD': 1.0427249167000001},2013-09-01,USD,2018-09-01
2013-11-04,{'CAD': 1.0401303125},2013-09-01,USD,2018-09-01
2013-11-05,{'CAD': 1.0429079591},2013-09-01,USD,2018-09-01
2013-11-06,{'CAD': 1.0440186432},2013-09-01,USD,2018-09-01
2013-11-07,{'CAD': 1.0430228208},2013-09-01,USD,2018-09-01
2013-11-08,{'CAD': 1.0454917728},2013-09-01,USD,2018-09-01
2013-11-11,{'CAD': 1.0471853069},2013-09-01,USD,2018-09-01
2013-11-12,{'CAD': 1.0495086361000001},2013-09-01,USD,2018-09-01
2013-11-13,{'CAD': 1.0489004845},2013-09-01,USD,2018-09-01
2013-11-14,{'CAD': 1.0498660316},2013-09-01,USD,2018-09-01
2013-11-15,{'CAD': 1.0464338782},2013-09-01,USD,2018-09-01
2013-11-18,{'CAD': 1.0417252349},2013-09-01,USD,2018-09-01
2013-11-19,{'CAD': 1.04369723},2013-09-01,USD,2018-09-01
2013-11-20,{'CAD': 1.045686405},2013-09-01,USD,2018-09-01
2013-11-21,{'CAD': 1.0472832542},2013-09-01,USD,2018-09-01
2013-11-22,{'CAD': 1.0540760468},2013-09-01,USD,2018-09-01
2013-11-25,{'CAD': 1.0560899808},2013-09-01,USD,2018-09-01
2013-11-26,{'CAD': 1.0524839448},2013-09-01,USD,2018-09-01
2013-11-27,{'CAD': 1.0578111209},2013-09-01,USD,2018-09-01
2013-11-28,{'CAD': 1.0576809888},2013-09-01,USD,2018-09-01
2013-11-29,{'CAD': 1.0575270002},2013-09-01,USD,2018-09-01
2013-12-02,{'CAD': 1.0628693853},2013-09-01,USD,2018-09-01
2013-12-03,{'CAD': 1.0653262631},2013-09-01,USD,2018-09-01
2013-12-04,{'CAD': 1.0656268393},2013-09-01,USD,2018-09-01
2013-12-05,{'CAD': 1.0656907459},2013-09-01,USD,2018-09-01
2013-12-06,{'CAD': 1.064929361},2013-09-01,USD,2018-09-01
2013-12-09,{'CAD': 1.0663897391},2013-09-01,USD,2018-09-01
2013-12-10,{'CAD': 1.0621090909},2013-09-01,USD,2018-09-01
2013-12-11,{'CAD': 1.0591268977},2013-09-01,USD,2018-09-01
2013-12-12,{'CAD': 1.0577858439},2013-09-01,USD,2018-09-01
2013-12-13,{'CAD': 1.0654913674},2013-09-01,USD,2018-09-01
2013-12-16,{'CAD': 1.0582897793},2013-09-01,USD,2018-09-01
2013-12-17,{'CAD': 1.0587679104},2013-09-01,USD,2018-09-01
2013-12-18,{'CAD': 1.0634227944},2013-09-01,USD,2018-09-01
2013-12-19,{'CAD': 1.071925075},2013-09-01,USD,2018-09-01
2013-12-20,{'CAD': 1.0692054193},2013-09-01,USD,2018-09-01
2013-12-23,{'CAD': 1.0599912422},2013-09-01,USD,2018-09-01
2013-12-24,{'CAD': 1.0610201694999999},2013-09-01,USD,2018-09-01
2013-12-27,{'CAD': 1.0663819314},2013-09-01,USD,2018-09-01
2013-12-30,{'CAD': 1.0711746354},2013-09-01,USD,2018-09-01
2013-12-31,{'CAD': 1.063809731},2013-09-01,USD,2018-09-01
2014-01-02,{'CAD': 1.0631131937},2013-09-01,USD,2018-09-01
2014-01-03,{'CAD': 1.0611706029},2013-09-01,USD,2018-09-01
2014-01-06,{'CAD': 1.0657256286},2013-09-01,USD,2018-09-01
2014-01-07,{'CAD': 1.0692031376},2013-09-01,USD,2018-09-01
2014-01-08,{'CAD': 1.0807709284},2013-09-01,USD,2018-09-01
2014-01-09,{'CAD': 1.0858066412},2013-09-01,USD,2018-09-01
2014-01-10,{'CAD': 1.0875837197},2013-09-01,USD,2018-09-01
2014-01-13,{'CAD': 1.091035594},2013-09-01,USD,2018-09-01
2014-01-14,{'CAD': 1.0889734397},2013-09-01,USD,2018-09-01
2014-01-15,{'CAD': 1.0954725856},2013-09-01,USD,2018-09-01
2014-01-16,{'CAD': 1.0922262264},2013-09-01,USD,2018-09-01
2014-01-17,{'CAD': 1.0968786808},2013-09-01,USD,2018-09-01
2014-01-20,{'CAD': 1.0937638213},2013-09-01,USD,2018-09-01
2014-01-21,{'CAD': 1.0998817093},2013-09-01,USD,2018-09-01
