,rates,start_at,base,end_at
2013-09-02,{'MXN': 13.2899977285},2013-08-31,USD,2018-09-01
2013-09-03,{'MXN': 13.4249924081},2013-08-31,USD,2018-09-01
2013-09-04,{'MXN': 13.3295118062},2013-08-31,USD,2018-09-01
2013-09-05,{'MXN': 13.408271474},2013-08-31,USD,2018-09-01
2013-09-06,{'MXN': 13.3249980941},2013-08-31,USD,2018-09-01
2013-09-09,{'MXN': 13.1815219039},2013-08-31,USD,2018-09-01
2013-09-10,{'MXN': 13.0629909366},2013-08-31,USD,2018-09-01
2013-09-11,{'MXN': 13.0744648779},2013-08-31,USD,2018-09-01
2013-09-12,{'MXN': 13.1100075245},2013-08-31,USD,2018-09-01
2013-09-13,{'MXN': 13.1010154193},2013-08-31,USD,2018-09-01
2013-09-16,{'MXN': 12.8924908288},2013-08-31,USD,2018-09-01
2013-09-17,{'MXN': 12.9299940102},2013-08-31,USD,2018-09-01
2013-09-18,{'MXN': 12.9375374476},2013-08-31,USD,2018-09-01
2013-09-19,{'MXN': 12.6140273164},2013-08-31,USD,2018-09-01
2013-09-20,{'MXN': 12.7820038479},2013-08-31,USD,2018-09-01
2013-09-23,{'MXN': 12.835504886},2013-08-31,USD,2018-09-01
2013-09-24,{'MXN': 12.8825057522},2013-08-31,USD,2018-09-01
2013-09-25,{'MXN': 12.9807464455},2013-08-31,USD,2018-09-01
2013-09-26,{'MXN': 12.9896288614},2013-08-31,USD,2018-09-01
2013-09-27,{'MXN': 13.1586023491},2013-08-31,USD,2018-09-01
2013-09-30,{'MXN': 13.2145131433},2013-08-31,USD,2018-09-01
2013-10-01,{'MXN': 13.1368599675},2013-08-31,USD,2018-09-01
2013-10-02,{'MXN': 13.1929707732},2013-08-31,USD,2018-09-01
2013-10-03,{'MXN': 13.1747829925},2013-08-31,USD,2018-09-01
2013-10-04,{'MXN': 13.1060104466},2013-08-31,USD,2018-09-01
2013-10-07,{'MXN': 13.1719717065},2013-08-31,USD,2018-09-01
2013-10-08,{'MXN': 13.0667354154},2013-08-31,USD,2018-09-01
2013-10-09,{'MXN': 13.1800221976},2013-08-31,USD,2018-09-01
2013-10-10,{'MXN': 13.1399645285},2013-08-31,USD,2018-09-01
2013-10-11,{'MXN': 13.0610349403},2013-08-31,USD,2018-09-01
