,rates,start_at,base,end_at
2013-09-02,{'USD': 0.9496656360000001},2013-08-31,CAD,2018-09-01
2013-09-03,{'USD': 0.9500865551000001},2013-08-31,CAD,2018-09-01
2013-09-04,{'USD': 0.9534530187},2013-08-31,CAD,2018-09-01
2013-09-05,{'USD': 0.9541085495},2013-08-31,CAD,2018-09-01
2013-09-06,{'USD': 0.9587048677000001},2013-08-31,CAD,2018-09-01
2013-09-09,{'USD': 0.9631359953},2013-08-31,CAD,2018-09-01
2013-09-10,{'USD': 0.9675533470000001},2013-08-31,CAD,2018-09-01
2013-09-11,{'USD': 0.9673374162},2013-08-31,CAD,2018-09-01
2013-09-12,{'USD': 0.9690120306000001},2013-08-31,CAD,2018-09-01
2013-09-13,{'USD': 0.9676832375000001},2013-08-31,CAD,2018-09-01
2013-09-16,{'USD': 0.9707827604},2013-08-31,CAD,2018-09-01
2013-09-17,{'USD': 0.9696529694},2013-08-31,CAD,2018-09-01
2013-09-18,{'USD': 0.9702078186},2013-08-31,CAD,2018-09-01
2013-09-19,{'USD': 0.9794634464},2013-08-31,CAD,2018-09-01
2013-09-20,{'USD': 0.9723701252},2013-08-31,CAD,2018-09-01
2013-09-23,{'USD': 0.9711697462000001},2013-08-31,CAD,2018-09-01
2013-09-24,{'USD': 0.9722883741},2013-08-31,CAD,2018-09-01
2013-09-25,{'USD': 0.9698362540000001},2013-08-31,CAD,2018-09-01
2013-09-26,{'USD': 0.9705226832},2013-08-31,CAD,2018-09-01
2013-09-27,{'USD': 0.9692131453},2013-08-31,CAD,2018-09-01
2013-09-30,{'USD': 0.9707446809},2013-08-31,CAD,2018-09-01
2013-10-01,{'USD': 0.9707778255},2013-08-31,CAD,2018-09-01
2013-10-02,{'USD': 0.9661853017},2013-08-31,CAD,2018-09-01
2013-10-03,{'USD': 0.9673379350000001},2013-08-31,CAD,2018-09-01
2013-10-04,{'USD': 0.9680244979},2013-08-31,CAD,2018-09-01
2013-10-07,{'USD': 0.9687366167},2013-08-31,CAD,2018-09-01
2013-10-08,{'USD': 0.9701300557},2013-08-31,CAD,2018-09-01
2013-10-09,{'USD': 0.9633616081},2013-08-31,CAD,2018-09-01
2013-10-10,{'USD': 0.9629260656},2013-08-31,CAD,2018-09-01
2013-10-11,{'USD': 0.9625372499},2013-08-31,CAD,2018-09-01
2013-10-14,{'USD': 0.9660280607},2013-08-31,CAD,2018-09-01
2013-10-15,{'USD': 0.9655098390000001},2013-08-31,CAD,2018-09-01
2013-10-16,{'USD': 0.9640292884},2013-08-31,CAD,2018-09-01
2013-10-17,{'USD': 0.9710711493},2013-08-31,CAD,2018-09-01
2013-10-18,{'USD': 0.9712541699},2013-08-31,CAD,2018-09-01
2013-10-21,{'USD': 0.9714265406},2013-08-31,CAD,2018-09-01
2013-10-22,{'USD': 0.970888952},2013-08-31,CAD,2018-09-01
2013-10-23,{'USD': 0.9692014941},2013-08-31,CAD,2018-09-01
2013-10-24,{'USD': 0.9614848865000001},2013-08-31,CAD,2018-09-01
2013-10-25,{'USD': 0.9580667594000001},2013-08-31,CAD,2018-09-01
2013-10-28,{'USD': 0.9574881912000001},2013-08-31,CAD,2018-09-01
2013-10-29,{'USD': 0.9575074762},2013-08-31,CAD,2018-09-01
2013-10-30,{'USD': 0.9576023392},2013-08-31,CAD,2018-09-01
2013-10-31,{'USD': 0.9571959862},2013-08-31,CAD,2018-09-01
2013-11-01,{'USD': 0.9590257066000001},2013-08-31,CAD,2018-09-01
2013-11-04,{'USD': 0.9614179954000001},2013-08-31,CAD,2018-09-01
2013-11-05,{'USD': 0.9588573865000001},2013-08-31,CAD,2018-09-01
2013-11-06,{'USD': 0.9578373016},2013-08-31,CAD,2018-09-01
2013-11-07,{'USD': 0.9587517934},2013-08-31,CAD,2018-09-01
2013-11-08,{'USD': 0.9564876798},2013-08-31,CAD,2018-09-01
2013-11-11,{'USD': 0.9549408242},2013-08-31,CAD,2018-09-01
2013-11-12,{'USD': 0.9528268426000001},2013-08-31,CAD,2018-09-01
2013-11-13,{'USD': 0.9533792907},2013-08-31,CAD,2018-09-01
2013-11-14,{'USD': 0.9525024812},2013-08-31,CAD,2018-09-01
2013-11-15,{'USD': 0.9556265531},2013-08-31,CAD,2018-09-01
2013-11-18,{'USD': 0.9599460266000001},2013-08-31,CAD,2018-09-01
2013-11-19,{'USD': 0.9581322736000001},2013-08-31,CAD,2018-09-01
2013-11-20,{'USD': 0.9563096501},2013-08-31,CAD,2018-09-01
2013-11-21,{'USD': 0.9548515132000001},2013-08-31,CAD,2018-09-01
2013-11-22,{'USD': 0.9486981543},2013-08-31,CAD,2018-09-01
2013-11-25,{'USD': 0.9468890135},2013-08-31,CAD,2018-09-01
2013-11-26,{'USD': 0.9501332585000001},2013-08-31,CAD,2018-09-01
2013-11-27,{'USD': 0.9453483521},2013-08-31,CAD,2018-09-01
2013-11-28,{'USD': 0.9454646633},2013-08-31,CAD,2018-09-01
2013-11-29,{'USD': 0.9456023343000001},2013-08-31,CAD,2018-09-01
2013-12-02,{'USD': 0.9408493779},2013-08-31,CAD,2018-09-01
2013-12-03,{'USD': 0.9386795714},2013-08-31,CAD,2018-09-01
2013-12-04,{'USD': 0.9384148025000001},2013-08-31,CAD,2018-09-01
2013-12-05,{'USD': 0.9383585283},2013-08-31,CAD,2018-09-01
2013-12-06,{'USD': 0.9390294199},2013-08-31,CAD,2018-09-01
2013-12-09,{'USD': 0.9377434566},2013-08-31,CAD,2018-09-01
2013-12-10,{'USD': 0.9415228704},2013-08-31,CAD,2018-09-01
2013-12-11,{'USD': 0.9441739250000001},2013-08-31,CAD,2018-09-01
2013-12-12,{'USD': 0.9453709423000001},2013-08-31,CAD,2018-09-01
2013-12-13,{'USD': 0.9385341173},2013-08-31,CAD,2018-09-01
2013-12-16,{'USD': 0.9449207765000001},2013-08-31,CAD,2018-09-01
2013-12-17,{'USD': 0.9444940578000001},2013-08-31,CAD,2018-09-01
2013-12-18,{'USD': 0.9403597565},2013-08-31,CAD,2018-09-01
2013-12-19,{'USD': 0.9329010239000001},2013-08-31,CAD,2018-09-01
2013-12-20,{'USD': 0.9352739726},2013-08-31,CAD,2018-09-01
2013-12-23,{'USD': 0.9434040209000001},2013-08-31,CAD,2018-09-01
2013-12-24,{'USD': 0.9424891521000001},2013-08-31,CAD,2018-09-01
2013-12-27,{'USD': 0.9377503224},2013-08-31,CAD,2018-09-01
2013-12-30,{'USD': 0.9335545923},2013-08-31,CAD,2018-09-01
2013-12-31,{'USD': 0.9400177220000001},2013-08-31,CAD,2018-09-01
2014-01-02,{'USD': 0.9406336088},2013-08-31,CAD,2018-09-01
2014-01-03,{'USD': 0.9423555433},2013-08-31,CAD,2018-09-01
2014-01-06,{'USD': 0.9383278146},2013-08-31,CAD,2018-09-01
2014-01-07,{'USD': 0.9352759685},2013-08-31,CAD,2018-09-01
2014-01-08,{'USD': 0.9252654506},2013-08-31,CAD,2018-09-01
2014-01-09,{'USD': 0.9209742896},2013-08-31,CAD,2018-09-01
2014-01-10,{'USD': 0.9194694458},2013-08-31,CAD,2018-09-01
2014-01-13,{'USD': 0.9165603813000001},2013-08-31,CAD,2018-09-01
2014-01-14,{'USD': 0.9182960425000001},2013-08-31,CAD,2018-09-01
2014-01-15,{'USD': 0.9128480376},2013-08-31,CAD,2018-09-01
2014-01-16,{'USD': 0.9155612417000001},2013-08-31,CAD,2018-09-01
2014-01-17,{'USD': 0.9116778523},2013-08-31,CAD,2018-09-01
2014-01-20,{'USD': 0.9142741609},2013-08-31,CAD,2018-09-01
2014-01-21,{'USD': 0.9091886805},2013-08-31,CAD,2018-09-01
2014-01-22,{'USD': 0.9119386932},2013-08-31,CAD,2018-09-01
2014-01-23,{'USD': 0.8973616685},2013-08-31,CAD,2018-09-01
2014-01-24,{'USD': 0.9039693547000001},2013-08-31,CAD,2018-09-01
2014-01-27,{'USD': 0.9057029178},2013-08-31,CAD,2018-09-01
2014-01-28,{'USD': 0.8973701512000001},2013-08-31,CAD,2018-09-01
2014-01-29,{'USD': 0.8968562578},2013-08-31,CAD,2018-09-01
2014-01-30,{'USD': 0.8944385872},2013-08-31,CAD,2018-09-01
2014-01-31,{'USD': 0.8932654815000001},2013-08-31,CAD,2018-09-01
2014-02-03,{'USD': 0.9028762542000001},2013-08-31,CAD,2018-09-01
2014-02-04,{'USD': 0.9030728123},2013-08-31,CAD,2018-09-01
2014-02-05,{'USD': 0.9043135684},2013-08-31,CAD,2018-09-01
2014-02-06,{'USD': 0.9041876047},2013-08-31,CAD,2018-09-01
2014-02-07,{'USD': 0.9034276206},2013-08-31,CAD,2018-09-01
2014-02-10,{'USD': 0.9053973312},2013-08-31,CAD,2018-09-01
2014-02-11,{'USD': 0.9061154177},2013-08-31,CAD,2018-09-01
2014-02-12,{'USD': 0.9091091762},2013-08-31,CAD,2018-09-01
2014-02-13,{'USD': 0.9088190337000001},2013-08-31,CAD,2018-09-01
2014-02-14,{'USD': 0.9127655324},2013-08-31,CAD,2018-09-01
2014-02-17,{'USD': 0.9123543124},2013-08-31,CAD,2018-09-01
2014-02-18,{'USD': 0.9118135334},2013-08-31,CAD,2018-09-01
2014-02-19,{'USD': 0.9132283569},2013-08-31,CAD,2018-09-01
2014-02-20,{'USD': 0.9023635526},2013-08-31,CAD,2018-09-01
2014-02-21,{'USD': 0.8956481965},2013-08-31,CAD,2018-09-01
2014-02-24,{'USD': 0.9010693433},2013-08-31,CAD,2018-09-01
2014-02-25,{'USD': 0.9029081599000001},2013-08-31,CAD,2018-09-01
2014-02-26,{'USD': 0.9012475378},2013-08-31,CAD,2018-09-01
2014-02-27,{'USD': 0.8984210526},2013-08-31,CAD,2018-09-01
2014-02-28,{'USD': 0.8994595299},2013-08-31,CAD,2018-09-01
2014-03-03,{'USD': 0.901165074},2013-08-31,CAD,2018-09-01
2014-03-04,{'USD': 0.9031750197},2013-08-31,CAD,2018-09-01
2014-03-05,{'USD': 0.9040157999},2013-08-31,CAD,2018-09-01
2014-03-06,{'USD': 0.9065426725},2013-08-31,CAD,2018-09-01
2014-03-07,{'USD': 0.910425267},2013-08-31,CAD,2018-09-01
2014-03-10,{'USD': 0.9002529347},2013-08-31,CAD,2018-09-01
2014-03-11,{'USD': 0.8999350227},2013-08-31,CAD,2018-09-01
2014-03-12,{'USD': 0.8979631426},2013-08-31,CAD,2018-09-01
2014-03-13,{'USD': 0.9036816178},2013-08-31,CAD,2018-09-01
2014-03-14,{'USD': 0.9019684272},2013-08-31,CAD,2018-09-01
2014-03-17,{'USD': 0.9033976483},2013-08-31,CAD,2018-09-01
2014-03-18,{'USD': 0.9053728427000001},2013-08-31,CAD,2018-09-01
2014-03-19,{'USD': 0.8950144741},2013-08-31,CAD,2018-09-01
2014-03-20,{'USD': 0.8874701748},2013-08-31,CAD,2018-09-01
2014-03-21,{'USD': 0.8927761581},2013-08-31,CAD,2018-09-01
2014-03-24,{'USD': 0.8916364578},2013-08-31,CAD,2018-09-01
2014-03-25,{'USD': 0.8946343995},2013-08-31,CAD,2018-09-01
2014-03-26,{'USD': 0.8956357969000001},2013-08-31,CAD,2018-09-01
2014-03-27,{'USD': 0.9014545931},2013-08-31,CAD,2018-09-01
2014-03-28,{'USD': 0.9059722131},2013-08-31,CAD,2018-09-01
2014-03-31,{'USD': 0.9056157635000001},2013-08-31,CAD,2018-09-01
2014-04-01,{'USD': 0.9047962732},2013-08-31,CAD,2018-09-01
2014-04-02,{'USD': 0.9081034823},2013-08-31,CAD,2018-09-01
2014-04-03,{'USD': 0.9076588452000001},2013-08-31,CAD,2018-09-01
2014-04-04,{'USD': 0.9072847682},2013-08-31,CAD,2018-09-01
2014-04-07,{'USD': 0.9097719438},2013-08-31,CAD,2018-09-01
2014-04-08,{'USD': 0.9149119894000001},2013-08-31,CAD,2018-09-01
2014-04-09,{'USD': 0.9146001857},2013-08-31,CAD,2018-09-01
2014-04-10,{'USD': 0.9172509591},2013-08-31,CAD,2018-09-01
2014-04-11,{'USD': 0.9116719243},2013-08-31,CAD,2018-09-01
2014-04-14,{'USD': 0.9118907868},2013-08-31,CAD,2018-09-01
2014-04-15,{'USD': 0.9098279612},2013-08-31,CAD,2018-09-01
2014-04-16,{'USD': 0.9105263158},2013-08-31,CAD,2018-09-01
2014-04-17,{'USD': 0.9083458992000001},2013-08-31,CAD,2018-09-01
2014-04-22,{'USD': 0.9079379682000001},2013-08-31,CAD,2018-09-01
2014-04-23,{'USD': 0.90720703},2013-08-31,CAD,2018-09-01
2014-04-24,{'USD': 0.9070026908000001},2013-08-31,CAD,2018-09-01
2014-04-25,{'USD': 0.9076054859},2013-08-31,CAD,2018-09-01
2014-04-28,{'USD': 0.9071335079},2013-08-31,CAD,2018-09-01
2014-04-29,{'USD': 0.9115843608},2013-08-31,CAD,2018-09-01
2014-04-30,{'USD': 0.9117240471},2013-08-31,CAD,2018-09-01
2014-05-02,{'USD': 0.9119736842},2013-08-31,CAD,2018-09-01
2014-05-05,{'USD': 0.9102479990000001},2013-08-31,CAD,2018-09-01
2014-05-06,{'USD': 0.9155068277},2013-08-31,CAD,2018-09-01
2014-05-07,{'USD': 0.9184252176000001},2013-08-31,CAD,2018-09-01
2014-05-08,{'USD': 0.9194728171000001},2013-08-31,CAD,2018-09-01
2014-05-09,{'USD': 0.9233500838},2013-08-31,CAD,2018-09-01
2014-05-12,{'USD': 0.9191372863},2013-08-31,CAD,2018-09-01
2014-05-13,{'USD': 0.9175092066},2013-08-31,CAD,2018-09-01
2014-05-14,{'USD': 0.9171680706},2013-08-31,CAD,2018-09-01
2014-05-15,{'USD': 0.9201077804000001},2013-08-31,CAD,2018-09-01
2014-05-16,{'USD': 0.9193797409000001},2013-08-31,CAD,2018-09-01
2014-05-19,{'USD': 0.9202227590000001},2013-08-31,CAD,2018-09-01
2014-05-20,{'USD': 0.9183030628000001},2013-08-31,CAD,2018-09-01
2014-05-21,{'USD': 0.9173598068000001},2013-08-31,CAD,2018-09-01
2014-05-22,{'USD': 0.9163928931},2013-08-31,CAD,2018-09-01
2014-05-23,{'USD': 0.9173509221},2013-08-31,CAD,2018-09-01
2014-05-26,{'USD': 0.9205374021},2013-08-31,CAD,2018-09-01
2014-05-27,{'USD': 0.9217356042},2013-08-31,CAD,2018-09-01
2014-05-28,{'USD': 0.9206413639000001},2013-08-31,CAD,2018-09-01
2014-05-29,{'USD': 0.9213483146},2013-08-31,CAD,2018-09-01
2014-05-30,{'USD': 0.9228212954},2013-08-31,CAD,2018-09-01
2014-06-02,{'USD': 0.9205329366},2013-08-31,CAD,2018-09-01
2014-06-03,{'USD': 0.9165099409},2013-08-31,CAD,2018-09-01
2014-06-04,{'USD': 0.9149936212},2013-08-31,CAD,2018-09-01
2014-06-05,{'USD': 0.9140951354},2013-08-31,CAD,2018-09-01
2014-06-06,{'USD': 0.9154475909},2013-08-31,CAD,2018-09-01
2014-06-09,{'USD': 0.9156853509},2013-08-31,CAD,2018-09-01
2014-06-10,{'USD': 0.9163284632},2013-08-31,CAD,2018-09-01
2014-06-11,{'USD': 0.9185029494},2013-08-31,CAD,2018-09-01
2014-06-12,{'USD': 0.9208985705},2013-08-31,CAD,2018-09-01
2014-06-13,{'USD': 0.9217462371},2013-08-31,CAD,2018-09-01
2014-06-16,{'USD': 0.9190437381000001},2013-08-31,CAD,2018-09-01
2014-06-17,{'USD': 0.9203635870000001},2013-08-31,CAD,2018-09-01
2014-06-18,{'USD': 0.9200244200000001},2013-08-31,CAD,2018-09-01
2014-06-19,{'USD': 0.9234524375000001},2013-08-31,CAD,2018-09-01
2014-06-20,{'USD': 0.9247311828},2013-08-31,CAD,2018-09-01
2014-06-23,{'USD': 0.9316157325000001},2013-08-31,CAD,2018-09-01
2014-06-24,{'USD': 0.9317824153},2013-08-31,CAD,2018-09-01
2014-06-25,{'USD': 0.9312585499},2013-08-31,CAD,2018-09-01
2014-06-26,{'USD': 0.9333882143000001},2013-08-31,CAD,2018-09-01
2014-06-27,{'USD': 0.93569662},2013-08-31,CAD,2018-09-01
2014-06-30,{'USD': 0.9361847968},2013-08-31,CAD,2018-09-01
2014-07-01,{'USD': 0.9383697813},2013-08-31,CAD,2018-09-01
2014-07-02,{'USD': 0.9395252838},2013-08-31,CAD,2018-09-01
2014-07-03,{'USD': 0.9391603579000001},2013-08-31,CAD,2018-09-01
2014-07-04,{'USD': 0.9402809494000001},2013-08-31,CAD,2018-09-01
2014-07-07,{'USD': 0.9395824692},2013-08-31,CAD,2018-09-01
2014-07-08,{'USD': 0.9366556383},2013-08-31,CAD,2018-09-01
2014-07-09,{'USD': 0.9377498966000001},2013-08-31,CAD,2018-09-01
2014-07-10,{'USD': 0.9372373407000001},2013-08-31,CAD,2018-09-01
2014-07-11,{'USD': 0.9397898521},2013-08-31,CAD,2018-09-01
2014-07-14,{'USD': 0.9321431014},2013-08-31,CAD,2018-09-01
