"Label","Value"
"2013-03-16","81.95"
"2013-03-23","42.77"
"2013-03-30","51.73"
"2013-04-06","131.33"
"2013-04-13","123.58"
"2013-04-20","61.59"
"2013-04-27","35.46"
"2013-05-04","63.86"
"2013-05-11","65.31"
"2013-05-18","42"
"2013-05-25","26.61"
"2013-06-01","42.4"
"2013-06-08","22.39"
"2013-06-15","37.85"
"2013-06-22","31.07"
"2013-06-29","45.41"
"2013-07-06","36.54"
"2013-07-13","51.84"
"2013-07-20","69.41"
"2013-07-27","62.99"
"2013-08-03","55.98"
"2013-08-10","141.37"
"2013-08-17","126.01"
"2013-08-24","179.39"
"2013-08-31","199.74"
"2013-09-07","166.18"
"2013-09-14","119.37"
"2013-09-21","201.32"
"2013-09-28","370.47"
"2013-10-05","283.04"
"2013-10-12","471.29"
"2013-10-19","368.15"
"2013-10-26","194.13"
"2013-11-02","160.33"
"2013-11-09","340.67"
"2013-11-16","389.4"
"2013-11-23","267.44"
"2013-11-30","273.4"
"2013-12-07","205.66"
"2013-12-14","184.28"
"2013-12-21","203.85"
"2013-12-28","88.52"
"2014-01-04","102.59"
"2014-01-11","122.83"
"2014-01-18","135.17"
"2014-01-25","189.26"
"2014-02-01","151.51"
"2014-02-08","159.22"
"2014-02-15","170.32"
"2014-02-22","131"
"2014-03-01","143.36"
"2014-03-08","151.82"
"2014-03-15","157.14"
"2014-03-22","151.2399928"
"2014-03-29","166.9735831"
"2014-04-05","169.3342971"
"2014-04-12","161.3162608"
"2014-04-19","128.4898401"
"2014-04-26","141.7447"
"2014-05-03","151.03"
"2014-05-10","158.528"
"2014-05-17","157.11"
"2014-05-24","152.3"
"2014-05-31","204.63"
"2014-06-07","160.15"
"2014-06-14","146.4"
"2014-06-21","205.7"
"2014-06-28","130.46"
"2014-07-05","132.61"
"2014-07-12","132.27"
"2014-07-19","144.42"
"2014-07-26","136.41"
"2014-08-02","183.74"
"2014-08-09","128.58"
"2014-08-16","157.13"
"2014-08-23","154.59"
"2014-08-30","206.11"
