"Label","Value"
"2013-03-16","261.18"
"2013-03-23","6.1"
"2013-03-30","12.09"
"2013-04-06","1"
"2013-04-13","5.67"
"2013-04-20",""
"2013-04-27","1.01"
"2013-05-04","3.88"
"2013-05-11","1.87"
"2013-05-18","3.1"
"2013-05-25","2"
"2013-06-01",""
"2013-06-08","7.31"
"2013-06-15",""
"2013-06-22","4.81"
"2013-06-29","2"
"2013-07-06","0.09"
"2013-07-13","1.5"
"2013-07-20","5.13"
"2013-07-27","3.46"
"2013-08-03","4.27"
"2013-08-10","2.1"
"2013-08-17","16.43"
"2013-08-24","6.59"
"2013-08-31","10.44"
"2013-09-07","3.8"
"2013-09-14","11.29"
"2013-09-21","14.66"
"2013-09-28","32.25"
"2013-10-05","70.3"
"2013-10-12","38.82"
"2013-10-19","74.87"
"2013-10-26","50.86"
"2013-11-02","60.59"
"2013-11-09","87.2"
"2013-11-16","62.01"
"2013-11-23","23.91"
"2013-11-30","28.68"
"2013-12-07","25.45"
"2013-12-14","19.12"
"2013-12-21","38.59"
"2013-12-28","41.27"
"2014-01-04","55.11"
"2014-01-11","90.35"
"2014-01-18","118.82"
"2014-01-25","28.66"
"2014-02-01","50.34"
"2014-02-08","58.41"
"2014-02-15","85.66"
"2014-02-22","44.55"
"2014-03-01","43.68"
"2014-03-08","35.13"
"2014-03-15","20.99"
"2014-03-22","33.87"
"2014-03-29","33.57"
"2014-04-05","45.89"
"2014-04-12","44.97"
"2014-04-19","51.96"
"2014-04-26","62.84"
"2014-05-03","79.85"
"2014-05-10","46.61"
"2014-05-17","52.44"
"2014-05-24","66.41"
"2014-05-31","96.49"
"2014-06-07","51.53"
"2014-06-14","44.43"
"2014-06-21","46.57"
"2014-06-28","30.32"
"2014-07-05","42.09"
"2014-07-12","32.52"
"2014-07-19","34.64"
"2014-07-26","49.5"
"2014-08-02","39.08"
"2014-08-09","42.02"
"2014-08-16","51.49"
"2014-08-23","83.97"
"2014-08-30","72.16"
"2014-09-06","92.83"
"2014-09-13","110.59"
"2014-09-20","94.14"
"2014-09-27","101.92"
"2014-10-04","107.44"
"2014-10-11","116.22"
"2014-10-18","126.86"
"2014-10-25","66.98"
"2014-11-01","83.39"
"2014-11-08","68.22"
"2014-11-15","78.29"
"2014-11-22","70.97"
"2014-11-29","81.76"
"2014-12-06","66.04"
"2014-12-13","86.56"
"2014-12-20","107.74"
"2014-12-27","58.33"
"2015-01-03","66.43"
"2015-01-10","89.1"
"2015-01-17","145.03"
"2015-01-24","156.03"
"2015-01-31","128.39"
"2015-02-07","150.35"
"2015-02-14","126.18"
"2015-02-21","166.31"
"2015-02-28","145.85"
"2015-03-07","99.65"
"2015-03-14","125.38"
"2015-03-21","138.5"
"2015-03-28","101.51"
"2015-04-04","86.68"
"2015-04-11","94.26"
"2015-04-18","155.56"
"2015-04-25","96.85"
"2015-05-02","107.66"
"2015-05-09","131.76"
"2015-05-16","162.96"
"2015-05-23","145.92"
"2015-05-30","118.78"
"2015-06-06","120.34"
"2015-06-13","93.99"
"2015-06-20","130.65"
"2015-06-27","109.7"
"2015-07-04","155.33"
"2015-07-11","144.96"
"2015-07-18","144.41"
"2015-07-25","133.72"
"2015-08-01","127.97"
"2015-08-08","124.12"
"2015-08-15","144.84"
"2015-08-22","165.35"
"2015-08-29","178.5"
"2015-09-05","135.92"
"2015-09-12","170.6"
"2015-09-19","167.09"
"2015-09-26","228.03"
"2015-10-03","228.3"
"2015-10-10","180.84"
"2015-10-17","153.75"
"2015-10-24","116.94"
"2015-10-31","128.33"
"2015-11-07","111.92"
"2015-11-14","107.3"
"2015-11-21","103.3"
"2015-11-28","106.31"
"2015-12-05","129"
"2015-12-12","105.05"
"2015-12-19","113.44"
"2015-12-26","78.96"
"2016-01-02","71.59"
"2016-01-09","94.62"
"2016-01-16","118.6"
"2016-01-23","147.46"
"2016-01-30","179.31"
"2016-02-06","116.75"
"2016-02-13","105.78"
"2016-02-20","120.2"
"2016-02-27","112.65"
"2016-03-05","98.75"
"2016-03-12","102.99"
"2016-03-19","169.51"
"2016-03-26","93.3"
"2016-04-02","110.71"
"2016-04-09","95.24"
"2016-04-16","98.71"
"2016-04-23","87.35"
"2016-04-30","110.32"
"2016-05-07","143.95"
"2016-05-14","89.37"
"2016-05-21","134.12"
"2016-05-28","102.22"
"2016-06-04","113.65"
"2016-06-11","80.88"
"2016-06-18","73.39"
"2016-06-25","82.85"
"2016-07-02","93.88"
"2016-07-09","100.88"
"2016-07-16","106.18"
"2016-07-23","87.48"
"2016-07-30","73.09"
"2016-08-06","73.92"
"2016-08-13","98.47"
"2016-08-20","86.81"
"2016-08-27","84.4"
