,rates,start_at,base,end_at
2013-09-02,{'USD': 0.0752445576},2013-08-31,MXN,2018-09-01
2013-09-03,{'USD': 0.0744879378},2013-08-31,MXN,2018-09-01
2013-09-04,{'USD': 0.0750215023},2013-08-31,MXN,2018-09-01
2013-09-05,{'USD': 0.0745808289},2013-08-31,MXN,2018-09-01
2013-09-06,{'USD': 0.075046915},2013-08-31,MXN,2018-09-01
2013-09-09,{'USD': 0.0758637741},2013-08-31,MXN,2018-09-01
2013-09-10,{'USD': 0.0765521468},2013-08-31,MXN,2018-09-01
2013-09-11,{'USD': 0.07648496590000001},2013-08-31,MXN,2018-09-01
2013-09-12,{'USD': 0.0762776069},2013-08-31,MXN,2018-09-01
2013-09-13,{'USD': 0.0763299613},2013-08-31,MXN,2018-09-01
2013-09-16,{'USD': 0.0775645306},2013-08-31,MXN,2018-09-01
2013-09-17,{'USD': 0.0773395563},2013-08-31,MXN,2018-09-01
2013-09-18,{'USD': 0.0772944623},2013-08-31,MXN,2018-09-01
2013-09-19,{'USD': 0.0792768221},2013-08-31,MXN,2018-09-01
2013-09-20,{'USD': 0.07823499440000001},2013-08-31,MXN,2018-09-01
2013-09-23,{'USD': 0.0779088948},2013-08-31,MXN,2018-09-01
2013-09-24,{'USD': 0.07762465},2013-08-31,MXN,2018-09-01
2013-09-25,{'USD': 0.0770371723},2013-08-31,MXN,2018-09-01
2013-09-26,{'USD': 0.07698449360000001},2013-08-31,MXN,2018-09-01
2013-09-27,{'USD': 0.0759959131},2013-08-31,MXN,2018-09-01
2013-09-30,{'USD': 0.0756743733},2013-08-31,MXN,2018-09-01
2013-10-01,{'USD': 0.0761216914},2013-08-31,MXN,2018-09-01
2013-10-02,{'USD': 0.07579793950000001},2013-08-31,MXN,2018-09-01
2013-10-03,{'USD': 0.0759025785},2013-08-31,MXN,2018-09-01
2013-10-04,{'USD': 0.0763008701},2013-08-31,MXN,2018-09-01
2013-10-07,{'USD': 0.0759187783},2013-08-31,MXN,2018-09-01
2013-10-08,{'USD': 0.0765302096},2013-08-31,MXN,2018-09-01
2013-10-09,{'USD': 0.07587240640000001},2013-08-31,MXN,2018-09-01
2013-10-10,{'USD': 0.0761037062},2013-08-31,MXN,2018-09-01
2013-10-11,{'USD': 0.0765636111},2013-08-31,MXN,2018-09-01
2013-10-14,{'USD': 0.076731175},2013-08-31,MXN,2018-09-01
2013-10-15,{'USD': 0.0769156225},2013-08-31,MXN,2018-09-01
2013-10-16,{'USD': 0.077133529},2013-08-31,MXN,2018-09-01
2013-10-17,{'USD': 0.0779243002},2013-08-31,MXN,2018-09-01
2013-10-18,{'USD': 0.078204564},2013-08-31,MXN,2018-09-01
2013-10-21,{'USD': 0.07772274130000001},2013-08-31,MXN,2018-09-01
2013-10-22,{'USD': 0.0769421218},2013-08-31,MXN,2018-09-01
2013-10-23,{'USD': 0.0773079388},2013-08-31,MXN,2018-09-01
2013-10-24,{'USD': 0.07680495820000001},2013-08-31,MXN,2018-09-01
2013-10-25,{'USD': 0.0770874949},2013-08-31,MXN,2018-09-01
2013-10-28,{'USD': 0.0775990677},2013-08-31,MXN,2018-09-01
2013-10-29,{'USD': 0.07741746840000001},2013-08-31,MXN,2018-09-01
2013-10-30,{'USD': 0.07763379200000001},2013-08-31,MXN,2018-09-01
2013-10-31,{'USD': 0.0771842271},2013-08-31,MXN,2018-09-01
2013-11-01,{'USD': 0.07642767810000001},2013-08-31,MXN,2018-09-01
2013-11-04,{'USD': 0.076839051},2013-08-31,MXN,2018-09-01
2013-11-05,{'USD': 0.0765287025},2013-08-31,MXN,2018-09-01
2013-11-06,{'USD': 0.076321525},2013-08-31,MXN,2018-09-01
2013-11-07,{'USD': 0.0761759828},2013-08-31,MXN,2018-09-01
2013-11-08,{'USD': 0.0758094012},2013-08-31,MXN,2018-09-01
2013-11-11,{'USD': 0.0759013068},2013-08-31,MXN,2018-09-01
2013-11-12,{'USD': 0.0756885904},2013-08-31,MXN,2018-09-01
2013-11-13,{'USD': 0.07592135650000001},2013-08-31,MXN,2018-09-01
2013-11-14,{'USD': 0.0765344194},2013-08-31,MXN,2018-09-01
2013-11-15,{'USD': 0.0770697464},2013-08-31,MXN,2018-09-01
2013-11-18,{'USD': 0.0775252931},2013-08-31,MXN,2018-09-01
2013-11-19,{'USD': 0.0774352651},2013-08-31,MXN,2018-09-01
2013-11-20,{'USD': 0.07716045860000001},2013-08-31,MXN,2018-09-01
2013-11-21,{'USD': 0.0762616399},2013-08-31,MXN,2018-09-01
2013-11-22,{'USD': 0.0767340081},2013-08-31,MXN,2018-09-01
2013-11-25,{'USD': 0.07695987430000001},2013-08-31,MXN,2018-09-01
2013-11-26,{'USD': 0.0764451617},2013-08-31,MXN,2018-09-01
2013-11-27,{'USD': 0.0762950119},2013-08-31,MXN,2018-09-01
2013-11-28,{'USD': 0.0762806986},2013-08-31,MXN,2018-09-01
2013-11-29,{'USD': 0.0765768553},2013-08-31,MXN,2018-09-01
2013-12-02,{'USD': 0.0760975281},2013-08-31,MXN,2018-09-01
2013-12-03,{'USD': 0.07551892140000001},2013-08-31,MXN,2018-09-01
2013-12-04,{'USD': 0.0761409661},2013-08-31,MXN,2018-09-01
2013-12-05,{'USD': 0.07676496170000001},2013-08-31,MXN,2018-09-01
2013-12-06,{'USD': 0.0765974387},2013-08-31,MXN,2018-09-01
2013-12-09,{'USD': 0.0779242904},2013-08-31,MXN,2018-09-01
2013-12-10,{'USD': 0.0777939338},2013-08-31,MXN,2018-09-01
2013-12-11,{'USD': 0.0775872272},2013-08-31,MXN,2018-09-01
2013-12-12,{'USD': 0.0770534536},2013-08-31,MXN,2018-09-01
2013-12-13,{'USD': 0.0772125412},2013-08-31,MXN,2018-09-01
2013-12-16,{'USD': 0.0773876065},2013-08-31,MXN,2018-09-01
2013-12-17,{'USD': 0.07730063420000001},2013-08-31,MXN,2018-09-01
2013-12-18,{'USD': 0.0771501198},2013-08-31,MXN,2018-09-01
2013-12-19,{'USD': 0.0770788215},2013-08-31,MXN,2018-09-01
2013-12-20,{'USD': 0.0765844083},2013-08-31,MXN,2018-09-01
2013-12-23,{'USD': 0.0771157299},2013-08-31,MXN,2018-09-01
2013-12-24,{'USD': 0.0770222275},2013-08-31,MXN,2018-09-01
2013-12-27,{'USD': 0.0762210598},2013-08-31,MXN,2018-09-01
2013-12-30,{'USD': 0.0765314055},2013-08-31,MXN,2018-09-01
2013-12-31,{'USD': 0.0763067764},2013-08-31,MXN,2018-09-01
2014-01-02,{'USD': 0.07613834010000001},2013-08-31,MXN,2018-09-01
2014-01-03,{'USD': 0.07650524660000001},2013-08-31,MXN,2018-09-01
2014-01-06,{'USD': 0.0761905829},2013-08-31,MXN,2018-09-01
2014-01-07,{'USD': 0.0765991139},2013-08-31,MXN,2018-09-01
