"Label","Value"
"2013-03-16","157.49"
"2013-03-23","325.71"
"2013-03-30","181.58"
"2013-04-06","451.16"
"2013-04-13","700.71"
"2013-04-20","367.07"
"2013-04-27","236.84"
"2013-05-04","302.98"
"2013-05-11","331.93"
"2013-05-18","562.42"
"2013-05-25","519.84"
"2013-06-01","456.14"
"2013-06-08","937.37"
"2013-06-15","940.85"
"2013-06-22","999.72"
"2013-06-29","1264.8"
"2013-07-06","2112"
"2013-07-13","2117.42"
"2013-07-20","3450.76"
"2013-07-27","4721.47"
"2013-08-03","5262.36"
"2013-08-10","5714.94"
"2013-08-17","6022.41"
"2013-08-24","6967.37"
"2013-08-31","5949.96"
"2013-09-07","5800.26"
"2013-09-14","6759.06"
"2013-09-21","7410.99"
"2013-09-28","7983.33"
"2013-10-05","7151.79"
"2013-10-12","5367.05"
"2013-10-19","6018.7"
"2013-10-26","5182.79"
"2013-11-02","5339.41"
"2013-11-09","5491.57"
"2013-11-16","3893.71"
"2013-11-23","2853.11"
"2013-11-30","2186.44"
"2013-12-07","2034.2"
"2013-12-14","1826.96"
"2013-12-21","2498.06"
"2013-12-28","1623.02"
"2014-01-04","1896.28"
"2014-01-11","2090.43"
"2014-01-18","2353.64"
"2014-01-25","2386.07"
"2014-02-01","2231.33"
"2014-02-08","2585.32"
"2014-02-15","2043.45"
"2014-02-22","2322.05"
"2014-03-01","2816.63"
"2014-03-08","2861.74"
"2014-03-15","2962.93"
"2014-03-22","2950.4052767"
"2014-03-29","3302.6354329"
"2014-04-05","4011.3746297"
"2014-04-12","4444.4665086"
"2014-04-19","4057.2034098"
"2014-04-26","4153.2700055"
"2014-05-03","4144.18"
"2014-05-10","4370.16"
"2014-05-17","3968.21"
"2014-05-24","4587.943"
"2014-05-31","3464.2414"
"2014-06-07","3666.8329"
"2014-06-14","4245.98"
"2014-06-21","4119.7798"
"2014-06-28","3905.31"
"2014-07-05","3726.214"
"2014-07-12","4230.3493"
"2014-07-19","4238.8377"
"2014-07-26","4069.7872"
"2014-08-02","4374.3488"
"2014-08-09","4277.5291"
"2014-08-16","4670.0698"
"2014-08-23","4917.5505"
